model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,8,disorder,3072,768,training,0.2133110368,0.2445866793,0.2359151365
gamma,1,8,disorder,4096,1024,training,0.3498881432,0.2737969768,0.3339863322
gamma,1,8,disorder,5120,1280,heldout,0.1607594937,0.2964542437,0.4345761549
gamma,1,8,disorder,6144,1536,heldout,0.2153846154,0.3149665787,0.5326660728
gamma,1,4,marginal,1024,512,training,0.8910214516,0.8854869771,0.8927118694
gamma,1,4,marginal,1536,768,training,0.9224984365,0.9270193896,0.9233610947
gamma,1,4,marginal,2048,1024,training,0.9535355355,0.9564871053,0.9506438018
gamma,1,4,marginal,2560,1280,training,1.002374687,0.9793440414,0.9749709048
gamma,1,4,marginal,3072,1536,training,0.9562486065,0.9980195179,0.9969002081
gamma,1,4,marginal,4096,2048,training,1.048165548,1.027487234,1.035256386
gamma,1,4,marginal,5120,2560,heldout,0.9011075949,1.05034417,1.068172741
gamma,1,4,marginal,6144,3072,heldout,1.012179487,1.069019646,1.097119973
gamma,1,4,conditional,1024,512,training,0.7065119484,0.7029547534,0.6972259635
gamma,1,4,conditional,1536,768,training,0.7235741088,0.7501480239,0.7530487734
gamma,1,4,conditional,2048,1024,training,0.7847267267,0.7836321822,0.7882654773
gamma,1,4,conditional,2560,1280,training,0.8934837093,0.8096045132,0.8130720777
gamma,1,4,conditional,3072,1536,training,0.7646098105,0.8308254527,0.8317129803
gamma,1,4,conditional,4096,2048,training,0.8685682327,0.864309611,0.8581492642
gamma,1,4,conditional,5120,2560,heldout,0.7417721519,0.890281942,0.8761452417
gamma,1,4,conditional,6144,3072,heldout,1.005128205,0.9115028815,0.8892214602
gamma,1,4,disorder,1024,512,training,0.1845095032,0.1825322237,0.1954859059
gamma,1,4,disorder,1536,768,training,0.1989243277,0.1768713657,0.1703123213
gamma,1,4,disorder,2048,1024,training,0.1688088088,0.1728549231,0.1623783244
gamma,1,4,disorder,2560,1280,training,0.1088909774,0.1697395282,0.1618988271
gamma,1,4,disorder,3072,1536,training,0.191638796,0.1671940652,0.1651872278
gamma,1,4,disorder,4096,2048,training,0.1795973154,0.1631776226,0.177107122
gamma,1,4,disorder,5120,2560,heldout,0.159335443,0.1600622277,0.192027499
gamma,1,4,disorder,6144,3072,heldout,0.007051282051,0.1575167647,0.2078985132
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6893037156,0.6881761044
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7283267202,0.7288976815
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7560139826,0.756925965
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7774898918,0.7781724207
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7950369873,0.7952116814
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8227242497,0.8215116942
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8442001589,0.8414175991
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8617472543,0.85736155
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6841392913,0.6766909803
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7235934759,0.727364898
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7515866655,0.7576106642
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7732998701,0.7778082392
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7910408501,0.7921947729
uniform,1,32,conditional,4096,256,training,0.8063534676,0.8190340397,0.811024638
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8407472443,0.8223673521
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8584882243,0.8295189377
uniform,1,32,disorder,1024,64,training,0.007102367456,0.005164424302,0.01148512418
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004733244268,0.001532783538
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004427317165,-0.0006846992577
uniform,1,32,disorder,2560,160,training,0.008333333333,0.004190021669,0.000364181436
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.003996137131,0.003016908461
uniform,1,32,disorder,4096,256,training,0.03279642058,0.003690210028,0.0104870562
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.003452914532,0.01905024692
uniform,1,32,disorder,6144,384,heldout,0,0.003259029994,0.02784261229
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7565483469,0.7665076239
uniform,1,16,marginal,1536,192,training,0.8032422608,0.8056205502,0.8005777107
uniform,1,16,marginal,2048,256,training,0.8347882883,0.8404378325,0.8323830303
uniform,1,16,marginal,2560,320,training,0.8381390977,0.8674442148,0.8614159896
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8895100358,0.8879671039
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9243273181,0.9350368399
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9513337004,0.9759098004
uniform,1,16,marginal,6144,768,heldout,1.325,0.9733995214,1.0121349
uniform,1,16,conditional,1024,128,training,0.773317717,0.7875756415,0.7734448339
uniform,1,16,conditional,1536,192,training,0.8196873046,0.8090278011,0.8161828781
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8242483505,0.8356769773
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8360543258,0.8446075261
uniform,1,16,conditional,3072,384,training,0.8459531773,0.8457005101,0.8478897126
uniform,1,16,conditional,4096,512,training,0.8448322148,0.8609210595,0.8457257604
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.8727270349,0.8378570195
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.8823732191,0.8274131868
uniform,1,16,disorder,1024,128,training,-0.007133711237,-0.03102729455,-0.006937210085
uniform,1,16,disorder,1536,192,training,-0.01644504378,-0.003407250859,-0.01560516735
uniform,1,16,disorder,2048,256,training,0.01007607608,0.01618948201,-0.003293946997
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.03138988894,0.01680846345
uniform,1,16,disorder,3072,384,training,0.06672240803,0.0438095257,0.04007739132
uniform,1,16,disorder,4096,512,training,0.08402684564,0.06340625857,0.08931107948
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.0786066655,0.1380527809
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.09102630227,0.1847217134
uniform,1,8,marginal,1024,256,training,0.825015783,0.8312060629,0.8359998969
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8632091476,0.8607818092
uniform,1,8,marginal,2048,512,training,0.8756131131,0.8859156977,0.8820385703
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9035282662,0.9006266186
uniform,1,8,marginal,3072,768,training,0.920039019,0.9179187824,0.9171761021
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9406253325,0.9457802921
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.958237901,0.970067449
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9726284172,0.9912734433
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8291911483,0.7883369881
uniform,1,8,conditional,1536,384,training,0.8771974672,0.854480271,0.8751666092
uniform,1,8,conditional,2048,512,training,0.8993868869,0.8724231892,0.9054649633
uniform,1,8,conditional,2560,640,training,0.9393984962,0.8863407977,0.9110693077
uniform,1,8,conditional,3072,768,training,0.8721237458,0.8977123119,0.9040416055
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9156552301,0.8717234745
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9295728386,0.8287586997
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.9409443528,0.7820471377
uniform,1,8,disorder,1024,256,training,0.0380576859,0.002014914564,0.04766290881
uniform,1,8,disorder,1536,384,training,0.01371521263,0.008728876598,-0.0143848
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01349250847,-0.02342639301
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01718746841,-0.01044268904
uniform,1,8,disorder,3072,768,training,0.04791527313,0.02020647051,0.01313449659
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.02497010238,0.07405681758
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.02866506232,0.1413087493
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.03168406441,0.2092263056
uniform,1,4,marginal,1024,512,training,0.8829887185,0.9047320271,0.8728151357
uniform,1,4,marginal,1536,768,training,0.9248182458,0.9299881198,0.9461491082
uniform,1,4,marginal,2048,1024,training,0.977515015,0.9479076028,0.9737211481
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9618070336,0.981125927
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9731636955,0.9781083908
uniform,1,4,marginal,4096,2048,training,0.9343400447,0.9910831784,0.9567619474
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.004982609,0.9262226028
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.016339271,0.8922024603
uniform,1,4,conditional,1024,512,training,0.8742646993,0.8877926954,0.8652527574
uniform,1,4,conditional,1536,768,training,0.9003627267,0.9184336536,0.9298466598
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9401737594,0.9584034707
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.9570366956,0.9706798369
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9708147176,0.974306697
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9925548234,0.9683169234
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.00941776,0.953796877
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.023195782,0.9355294737
uniform,1,4,disorder,1024,512,training,0.008724019117,0.01693933163,0.007562378326
uniform,1,4,disorder,1536,768,training,0.02445551907,0.01155446617,0.01630244841
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.007733843318,0.01531767741
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.004770338005,0.01044609004
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.002348977857,0.003801693803
uniform,1,4,disorder,4096,2048,training,-0.01932885906,-0.001471644991,-0.01155497601
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,-0.004435150305,-0.02757427416
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,-0.006856510452,-0.04332701331
