model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.05009083937,0.1233931421
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.05529282437,0.1606112573
uniform,1,8,marginal,512,128,training,0.7302215243,0.7471260656,0.7354817369
uniform,1,8,marginal,768,192,training,0.7880146912,0.7866533484,0.7877379386
uniform,1,8,marginal,1024,256,training,0.825015783,0.8146984018,0.8210809968
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8542256846,0.8628135972
uniform,1,8,marginal,2048,512,training,0.8756131131,0.882270738,0.8886900414
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9040241714,0.9066272823
uniform,1,8,marginal,3072,768,training,0.920039019,0.9217980207,0.9198990406
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9498430742,0.9383088709
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.9715965076,0.9504545561
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9893703569,0.9589942689
uniform,1,8,conditional,512,128,training,0.7275319864,0.7545798859,0.7183037525
uniform,1,8,conditional,768,192,training,0.8015802701,0.7880523675,0.7914312431
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8118014711,0.831685474
uniform,1,8,conditional,1536,384,training,0.8771974672,0.8452739526,0.872028287
uniform,1,8,conditional,2048,512,training,0.8993868869,0.8690230563,0.8890214189
uniform,1,8,conditional,2560,640,training,0.9393984962,0.8874442922,0.8955538877
uniform,1,8,conditional,3072,768,training,0.8721237458,0.9024955378,0.8965795543
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9262446414,0.8903115873
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9446658773,0.878801346
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.959717123,0.8650850451
uniform,1,8,disorder,512,128,training,0.002689537908,-0.007453820271,0.01717798439
uniform,1,8,disorder,768,192,training,-0.01356557889,-0.001399019082,-0.00369330455
uniform,1,8,disorder,1024,256,training,0.0380576859,0.002896930729,-0.01060447721
uniform,1,8,disorder,1536,384,training,0.01371521263,0.008951731918,-0.009214689806
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01324768173,-0.0003313774414
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01657987928,0.01107339457
uniform,1,8,disorder,3072,768,training,0.04791527313,0.01930248292,0.0233194863
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.02359843273,0.04799728369
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.02693063028,0.07165321007
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.02965323392,0.09390922377
uniform,1,4,marginal,512,256,training,0.8127444689,0.8198193187,0.7917861597
uniform,1,4,marginal,768,384,training,0.8346621655,0.8554952314,0.85810633
uniform,1,4,marginal,1024,512,training,0.8829887185,0.8808076944,0.8961734835
uniform,1,4,marginal,1536,768,training,0.9248182458,0.9164836071,0.937158592
uniform,1,4,marginal,2048,1024,training,0.977515015,0.94179607,0.957250233
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9614299416,0.9676968052
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9774719827,0.9729002798
uniform,1,4,marginal,4096,2048,training,0.9343400447,1.002784446,0.9750164084
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.022418317,0.97152009
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.038460358,0.9653313933
uniform,1,4,conditional,512,256,training,0.80969986,0.8150169861,0.7975426105
uniform,1,4,conditional,768,384,training,0.8430982746,0.8507794501,0.8524070696
uniform,1,4,conditional,1024,512,training,0.8742646993,0.876153322,0.8857315351
uniform,1,4,conditional,1536,768,training,0.9003627267,0.9119157859,0.9248034684
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9372896579,0.9469229586
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.956971162,0.9608775905
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9730521218,0.9702023661
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9984259938,0.9811168809
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.018107498,0.9863802587
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.034188458,0.9886037627
uniform,1,4,disorder,512,256,training,0.003044608922,0.004802332555,-0.005756450845
uniform,1,4,disorder,768,384,training,-0.008436109027,0.004715781372,0.0056992604
uniform,1,4,disorder,1024,512,training,0.008724019117,0.004654372331,0.01044194835
uniform,1,4,disorder,1536,768,training,0.02445551907,0.004567821149,0.01235512357
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.004506412107,0.01032727446
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.004458779554,0.006819214776
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.004419860925,0.002697913661
uniform,1,4,disorder,4096,2048,training,-0.01932885906,0.004358451884,-0.006100472503
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,0.004310819331,-0.01486016873
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,0.004271900701,-0.02327236933
